"","caseid","region","gender","educ","edloan","race","hispanic","employ","marstat","pid7","ideo5","pew_religimp","newsint","faminc_new","union","investor","CC18_308a","CC18_310a","CC18_310b","CC18_310c","CC18_310d","CC18_325a","CC18_325b","CC18_325c","CC18_325d"
"354",412544849,3,1,6,2,1,1,4,1,6,3,2,1,5,3,2,1,2,3,2,3,1,2,1,2
"355",414227957,3,1,5,2,2,2,4,5,1,3,2,2,1,3,1,3,2,3,2,3,1,1,2,1
"356",414211281,3,2,2,2,1,2,5,4,4,2,1,4,2,3,2,2,2,3,3,2,2,1,2,1
"357",411800829,2,2,5,2,1,2,7,1,2,4,2,2,10,3,1,2,2,2,3,2,1,1,2,1
"358",411896870,4,1,3,2,1,2,1,1,4,5,1,1,11,2,2,1,3,3,3,2,1,2,1,1
"359",412318843,1,1,4,1,1,2,1,1,6,3,2,3,10,3,2,2,2,3,3,5,2,2,2,1
"360",415655927,2,2,5,1,1,2,1,5,3,2,2,3,7,3,2,4,5,3,5,5,1,1,2,1
"361",418916383,1,1,6,1,1,2,1,1,5,2,1,2,10,1,1,1,2,3,3,3,1,2,1,2
"362",413131138,2,2,5,1,1,2,1,5,7,4,1,1,7,3,2,1,2,2,3,5,1,1,2,1
"363",412311035,3,1,6,1,1,2,7,1,3,3,3,2,3,3,2,3,3,2,2,2,2,1,1,1
"364",415953302,3,1,3,2,1,2,6,5,7,5,2,1,8,3,2,1,2,2,2,2,1,1,1,1
"365",412374703,2,2,3,1,1,2,2,6,1,1,4,1,1,3,2,4,2,3,5,2,2,1,2,1
"366",413167298,1,2,5,2,1,2,1,3,7,5,1,2,10,3,1,1,3,3,3,2,1,2,2,1
"367",417167365,2,2,2,1,1,2,2,1,7,5,1,1,2,1,2,1,2,2,2,2,1,1,1,1
"368",412410103,3,2,4,2,1,2,5,4,1,2,1,1,4,1,2,4,2,3,2,5,2,1,2,2
"369",416480233,4,2,2,2,1,2,5,5,2,3,3,2,5,1,1,4,3,3,3,3,2,2,1,1
"370",413400296,3,2,3,1,1,2,1,3,7,5,1,2,6,3,2,1,2,2,2,2,1,1,2,1
"371",412900035,4,2,4,1,1,2,6,1,4,1,2,1,6,3,2,4,3,2,3,2,2,2,2,2
"372",414151510,3,2,2,2,1,2,5,3,4,4,4,1,1,3,2,3,5,5,2,5,2,1,2,1
"373",418065089,2,1,6,2,1,2,5,1,7,4,2,1,3,2,1,1,2,3,2,2,1,1,2,1
"374",412294020,3,2,6,2,1,2,5,1,7,5,2,1,5,3,1,1,2,2,2,2,2,1,1,1
"375",413554064,3,2,5,2,1,2,5,4,5,4,1,1,6,3,2,1,2,2,2,2,1,1,2,1
"376",413409413,3,2,5,2,1,2,7,1,3,3,4,1,10,3,1,4,3,2,2,2,2,1,2,2
"377",417000795,3,2,2,2,1,2,5,3,7,3,1,1,6,3,2,1,2,5,5,2,1,1,2,1
"378",412736795,4,2,5,2,1,2,1,1,2,2,1,1,7,2,2,4,2,2,2,3,2,2,2,2
"379",417514349,1,1,2,2,1,2,5,1,4,3,4,2,9,2,1,2,3,3,3,3,1,2,2,1
"380",415528311,3,1,2,2,1,2,4,5,4,4,4,4,2,3,2,3,5,5,5,5,2,2,1,2
